owner,year,weekday,hour_local,plays,pct_of_owner_year
Or,2022,Monday,16,119,0.94
Or,2022,Monday,17,111,0.88
Or,2022,Monday,18,203,1.61
Or,2022,Monday,19,74,0.59
Or,2022,Monday,20,184,1.46
Or,2022,Monday,21,171,1.35
Or,2022,Monday,22,37,0.29
Or,2022,Monday,23,8,0.06
Or,2022,Saturday,0,87,0.69
Or,2022,Saturday,7,7,0.06
Or,2022,Saturday,8,63,0.5
Or,2022,Saturday,9,46,0.36
Or,2022,Saturday,10,54,0.43
Or,2022,Saturday,11,96,0.76
Or,2022,Saturday,12,62,0.49
Or,2022,Saturday,13,80,0.63
Or,2022,Saturday,14,68,0.54
Or,2022,Saturday,15,70,0.55
Or,2022,Saturday,16,114,0.9
Or,2022,Saturday,17,68,0.54
Or,2022,Saturday,18,47,0.37
Or,2022,Saturday,19,86,0.68
Or,2022,Saturday,20,68,0.54
Or,2022,Saturday,21,72,0.57
Or,2022,Sunday,0,21,0.17
Or,2022,Sunday,6,83,0.66
Or,2022,Sunday,7,192,1.52
Or,2022,Sunday,8,188,1.49
Or,2022,Sunday,9,150,1.19
Or,2022,Sunday,10,93,0.74
Or,2022,Sunday,11,49,0.39
Or,2022,Sunday,12,59,0.47
Or,2022,Sunday,13,168,1.33
Or,2022,Sunday,14,119,0.94
Or,2022,Sunday,15,85,0.67
Or,2022,Sunday,16,31,0.25
Or,2022,Sunday,17,84,0.66
Or,2022,Sunday,18,34,0.27
Or,2022,Sunday,19,60,0.47
Or,2022,Sunday,20,43,0.34
Or,2022,Sunday,21,47,0.37
Or,2022,Sunday,22,18,0.14
Or,2022,Sunday,23,1,0.01
Or,2022,Thursday,0,1,0.01
Or,2022,Thursday,5,6,0.05
Or,2022,Thursday,6,67,0.53
Or,2022,Thursday,7,255,2.02
Or,2022,Thursday,8,275,2.18
Or,2022,Thursday,9,183,1.45
Or,2022,Thursday,10,126,1.0
Or,2022,Thursday,11,73,0.58
Or,2022,Thursday,12,70,0.55
Or,2022,Thursday,13,117,0.93
Or,2022,Thursday,14,33,0.26
Or,2022,Thursday,15,64,0.51
Or,2022,Thursday,16,88,0.7
Or,2022,Thursday,17,112,0.89
Or,2022,Thursday,18,102,0.81
Or,2022,Thursday,19,96,0.76
Or,2022,Thursday,20,91,0.72
Or,2022,Thursday,21,76,0.6
Or,2022,Thursday,22,47,0.37
Or,2022,Thursday,23,73,0.58
Or,2022,Tuesday,4,2,0.02
Or,2022,Tuesday,5,55,0.44
Or,2022,Tuesday,6,132,1.04
Or,2022,Tuesday,7,178,1.41
Or,2022,Tuesday,8,292,2.31
Or,2022,Tuesday,9,175,1.39
Or,2022,Tuesday,10,79,0.63
Or,2022,Tuesday,11,96,0.76
Or,2022,Tuesday,12,123,0.97
Or,2022,Tuesday,13,144,1.14
Or,2022,Tuesday,14,129,1.02
Or,2022,Tuesday,15,25,0.2
Or,2022,Tuesday,16,47,0.37
Or,2022,Tuesday,17,54,0.43
Or,2022,Tuesday,18,24,0.19
Or,2022,Tuesday,19,72,0.57
Or,2022,Tuesday,20,26,0.21
Or,2022,Tuesday,21,40,0.32
Or,2022,Tuesday,22,19,0.15
Or,2022,Tuesday,23,11,0.09
Or,2022,Wednesday,5,6,0.05
Or,2022,Wednesday,6,76,0.6
Or,2022,Wednesday,7,223,1.77
Or,2022,Wednesday,8,161,1.27
Or,2022,Wednesday,9,150,1.19
Or,2022,Wednesday,10,168,1.33
Or,2022,Wednesday,11,70,0.55
Or,2022,Wednesday,12,56,0.44
Or,2022,Wednesday,13,70,0.55
Or,2022,Wednesday,14,47,0.37
Or,2022,Wednesday,15,54,0.43
Or,2022,Wednesday,16,70,0.55
Or,2022,Wednesday,17,67,0.53
Or,2022,Wednesday,18,99,0.78
Or,2022,Wednesday,19,159,1.26
Or,2022,Wednesday,20,73,0.58
Or,2022,Wednesday,21,94,0.74
Or,2022,Wednesday,22,105,0.83
Or,2022,Wednesday,23,12,0.09
Or,2023,Friday,2,14,0.11
Or,2023,Friday,3,9,0.07
Or,2023,Friday,4,15,0.12
Or,2023,Friday,5,10,0.08
Or,2023,Friday,6,38,0.29
Or,2023,Friday,7,74,0.57
Or,2023,Friday,8,120,0.92
Or,2023,Friday,9,230,1.76
Or,2023,Friday,10,188,1.44
Or,2023,Friday,11,170,1.3
Or,2023,Friday,12,230,1.76
Or,2023,Friday,13,155,1.19
Or,2023,Friday,14,117,0.9
Or,2023,Friday,15,120,0.92
Or,2023,Friday,16,206,1.58
Or,2023,Friday,17,184,1.41
Or,2023,Friday,18,116,0.89
Or,2023,Friday,19,16,0.12
Or,2023,Friday,20,5,0.04
Or,2023,Friday,21,26,0.2
Or,2023,Friday,22,13,0.1
Or,2023,Friday,23,6,0.05
Or,2023,Monday,1,38,0.29
Or,2023,Monday,5,9,0.07
Or,2023,Monday,6,46,0.35
Or,2023,Monday,7,99,0.76
Or,2023,Monday,8,191,1.47
Or,2023,Monday,9,252,1.93
Or,2023,Monday,10,190,1.46
Or,2023,Monday,11,248,1.9
Or,2023,Monday,12,193,1.48
Or,2023,Monday,13,94,0.72
Or,2023,Monday,14,43,0.33
Or,2023,Monday,15,50,0.38
Or,2023,Monday,16,56,0.43
Or,2023,Monday,17,18,0.14
Or,2023,Monday,18,79,0.61
Or,2023,Monday,19,89,0.68
Or,2023,Monday,20,49,0.38
Or,2023,Monday,21,83,0.64
Or,2023,Monday,22,25,0.19
Or,2023,Monday,23,28,0.21
Or,2023,Saturday,0,3,0.02
Or,2023,Saturday,4,4,0.03
Or,2023,Saturday,5,11,0.08
Or,2023,Saturday,6,5,0.04
Or,2023,Saturday,7,10,0.08
Or,2023,Saturday,8,42,0.32
Or,2023,Saturday,9,77,0.59
Or,2023,Saturday,10,33,0.25
Or,2023,Saturday,11,42,0.32
Or,2023,Saturday,12,49,0.38
Or,2023,Saturday,13,104,0.8
Or,2023,Saturday,14,149,1.14
Or,2023,Saturday,15,145,1.11
Or,2023,Saturday,16,144,1.1
Or,2023,Saturday,17,180,1.38
Or,2023,Saturday,18,60,0.46
Or,2023,Saturday,19,58,0.45
Or,2023,Saturday,20,59,0.45
Or,2023,Saturday,21,49,0.38
Or,2023,Saturday,22,66,0.51
Or,2023,Saturday,23,39,0.3
Or,2023,Sunday,0,1,0.01
Or,2023,Sunday,6,34,0.26
Or,2023,Sunday,7,52,0.4
Or,2023,Sunday,8,192,1.47
Or,2023,Sunday,9,309,2.37
Or,2023,Sunday,10,385,2.95
Or,2023,Sunday,11,354,2.72
Or,2023,Sunday,12,142,1.09
